model,region,code,family,genus,species,parameter,estimate,na_genus
DBHHT,CA-ON,TILI.AME,Malvaceae,Tilia,americana,bbark2,1.5881,FALSE
DBHHT,CA-ON,TILI.AME,Malvaceae,Tilia,americana,bbark3,1.1472,FALSE
DBHHT,CA-ON,TILI.AME,Malvaceae,Tilia,americana,bbranches1,0.0039,FALSE
DBHHT,CA-ON,TILI.AME,Malvaceae,Tilia,americana,bbranches2,2.0084,FALSE
DBHHT,CA-ON,TILI.AME,Malvaceae,Tilia,americana,bbranches3,0.8588,FALSE
DBHHT,CA-ON,TILI.AME,Malvaceae,Tilia,americana,bfoliage1,0.0147,FALSE
DBHHT,CA-ON,TILI.AME,Malvaceae,Tilia,americana,bfoliage2,1.83,FALSE
DBHHT,CA-ON,TILI.AME,Malvaceae,Tilia,americana,bfoliage3,0,FALSE
DBHHT,"CA-ON, CA-QC",FAGU.GRA,Fagaceae,Fagus,grandifolia,bwood1,0.0432,FALSE
DBHHT,"CA-ON, CA-QC",FAGU.GRA,Fagaceae,Fagus,grandifolia,bwood2,2.0378,FALSE
DBHHT,"CA-ON, CA-QC",FAGU.GRA,Fagaceae,Fagus,grandifolia,bwood3,0.7,FALSE
DBHHT,"CA-ON, CA-QC",FAGU.GRA,Fagaceae,Fagus,grandifolia,bbark1,0.0049,FALSE
DBHHT,"CA-ON, CA-QC",FAGU.GRA,Fagaceae,Fagus,grandifolia,bbark2,1.9057,FALSE
DBHHT,"CA-ON, CA-QC",FAGU.GRA,Fagaceae,Fagus,grandifolia,bbark3,0.677,FALSE
DBHHT,"CA-ON, CA-QC",FAGU.GRA,Fagaceae,Fagus,grandifolia,bbranches1,0.0355,FALSE
DBHHT,"CA-ON, CA-QC",FAGU.GRA,Fagaceae,Fagus,grandifolia,bbranches2,2.3749,FALSE
DBHHT,"CA-ON, CA-QC",FAGU.GRA,Fagaceae,Fagus,grandifolia,bbranches3,0,FALSE
DBHHT,"CA-ON, CA-QC",FAGU.GRA,Fagaceae,Fagus,grandifolia,bfoliage1,0.0452,FALSE
DBHHT,"CA-ON, CA-QC",FAGU.GRA,Fagaceae,Fagus,grandifolia,bfoliage2,1.5567,FALSE
DBHHT,"CA-ON, CA-QC",FAGU.GRA,Fagaceae,Fagus,grandifolia,bfoliage3,0,FALSE
DBHHT,"CA-ON, CA-QC",FRAX.NIG,Oleaceae,Fraxinus,nigra,bwood1,0.0306,FALSE
DBHHT,"CA-ON, CA-QC",FRAX.NIG,Oleaceae,Fraxinus,nigra,bwood2,2.1836,FALSE
DBHHT,"CA-ON, CA-QC",FRAX.NIG,Oleaceae,Fraxinus,nigra,bwood3,0.574,FALSE
DBHHT,"CA-ON, CA-QC",FRAX.NIG,Oleaceae,Fraxinus,nigra,bbark1,0.0897,FALSE
DBHHT,"CA-ON, CA-QC",FRAX.NIG,Oleaceae,Fraxinus,nigra,bbark2,2.2634,FALSE
DBHHT,"CA-ON, CA-QC",FRAX.NIG,Oleaceae,Fraxinus,nigra,bbark3,-0.567,FALSE
DBHHT,"CA-ON, CA-QC",FRAX.NIG,Oleaceae,Fraxinus,nigra,bbranches1,0.0994,FALSE
DBHHT,"CA-ON, CA-QC",FRAX.NIG,Oleaceae,Fraxinus,nigra,bbranches2,2.163,FALSE
DBHHT,"CA-ON, CA-QC",FRAX.NIG,Oleaceae,Fraxinus,nigra,bbranches3,-0.4809,FALSE
DBHHT,"CA-ON, CA-QC",FRAX.NIG,Oleaceae,Fraxinus,nigra,bfoliage1,0.0124,FALSE
DBHHT,"CA-ON, CA-QC",FRAX.NIG,Oleaceae,Fraxinus,nigra,bfoliage2,1.0325,FALSE
DBHHT,"CA-ON, CA-QC",FRAX.NIG,Oleaceae,Fraxinus,nigra,bfoliage3,0.8747,FALSE
DBHHT,CA-ON,PRUN.SER,Rosaceae,Prunus,serotina,bwood1,0.0181,FALSE
DBHHT,CA-ON,PRUN.SER,Rosaceae,Prunus,serotina,bwood2,1.7013,FALSE
DBHHT,CA-ON,PRUN.SER,Rosaceae,Prunus,serotina,bwood3,1.3057,FALSE
DBHHT,CA-ON,PRUN.SER,Rosaceae,Prunus,serotina,bbark1,0.0101,FALSE
DBHHT,CA-ON,PRUN.SER,Rosaceae,Prunus,serotina,bbark2,1.5956,FALSE
DBHHT,CA-ON,PRUN.SER,Rosaceae,Prunus,serotina,bbark3,0.919,FALSE
DBHHT,CA-ON,PRUN.SER,Rosaceae,Prunus,serotina,bbranches1,5.00E-04,FALSE
DBHHT,CA-ON,PRUN.SER,Rosaceae,Prunus,serotina,bbranches2,2.8004,FALSE
DBHHT,CA-ON,PRUN.SER,Rosaceae,Prunus,serotina,bbranches3,0.8603,FALSE
DBHHT,CA-ON,PRUN.SER,Rosaceae,Prunus,serotina,bfoliage1,0.1976,FALSE
DBHHT,CA-ON,PRUN.SER,Rosaceae,Prunus,serotina,bfoliage2,1.4421,FALSE
DBHHT,CA-ON,PRUN.SER,Rosaceae,Prunus,serotina,bfoliage3,-0.5264,FALSE
DBHHT,"CA-AB, CA-MB, CA-NL, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",PICE.MAR,Pinaceae,Picea,mariana,bwood1,0.0309,FALSE
DBHHT,"CA-AB, CA-MB, CA-NL, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",PICE.MAR,Pinaceae,Picea,mariana,bwood2,1.7527,FALSE
DBHHT,"CA-AB, CA-MB, CA-NL, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",PICE.MAR,Pinaceae,Picea,mariana,bwood3,1.0014,FALSE
DBHHT,"CA-AB, CA-MB, CA-NL, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",PICE.MAR,Pinaceae,Picea,mariana,bbark1,0.0115,FALSE
DBHHT,"CA-AB, CA-MB, CA-NL, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",PICE.MAR,Pinaceae,Picea,mariana,bbark2,1.7405,FALSE
DBHHT,"CA-AB, CA-MB, CA-NL, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",PICE.MAR,Pinaceae,Picea,mariana,bbark3,0.6589,FALSE
DBHHT,"CA-AB, CA-MB, CA-NL, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",PICE.MAR,Pinaceae,Picea,mariana,bbranches1,0.038,FALSE
DBHHT,"CA-AB, CA-MB, CA-NL, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",PICE.MAR,Pinaceae,Picea,mariana,bbranches2,3.2558,FALSE
