model,region,code,family,genus,species,parameter,estimate,na_genus
DBHHT,"CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",PICE.MAR,Pinaceae,Picea,mariana,bbark1,0.0132,FALSE
DBHHT,"CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",PICE.MAR,Pinaceae,Picea,mariana,bbark2,1.7657,FALSE
DBHHT,"CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",PICE.MAR,Pinaceae,Picea,mariana,bbark3,0.5775,FALSE
DBHHT,"CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",PICE.MAR,Pinaceae,Picea,mariana,bbranches1,0.0405,FALSE
DBHHT,"CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",PICE.MAR,Pinaceae,Picea,mariana,bbranches2,3.1917,FALSE
DBHHT,"CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",PICE.MAR,Pinaceae,Picea,mariana,bbranches3,-1.3674,FALSE
DBHHT,"CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",PICE.MAR,Pinaceae,Picea,mariana,bfoliage1,0.2078,FALSE
DBHHT,"CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",PICE.MAR,Pinaceae,Picea,mariana,bfoliage2,2.5517,FALSE
DBHHT,"CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",PICE.MAR,Pinaceae,Picea,mariana,bfoliage3,-1.3453,FALSE
DBHHT,"CA-AB, CA-BC",PINU.CON,Pinaceae,Pinus,contorta,bwood1,0.0239,FALSE
DBHHT,"CA-AB, CA-BC",PINU.CON,Pinaceae,Pinus,contorta,bwood2,1.6827,FALSE
DBHHT,"CA-AB, CA-BC",PINU.CON,Pinaceae,Pinus,contorta,bwood3,1.1878,FALSE
DBHHT,"CA-AB, CA-BC",PINU.CON,Pinaceae,Pinus,contorta,bbark1,0.0117,FALSE
DBHHT,"CA-AB, CA-BC",PINU.CON,Pinaceae,Pinus,contorta,bbark2,1.6398,FALSE
DBHHT,"CA-AB, CA-BC",PINU.CON,Pinaceae,Pinus,contorta,bbark3,0.6524,FALSE
DBHHT,"CA-AB, CA-BC",PINU.CON,Pinaceae,Pinus,contorta,bbranches1,0.0285,FALSE
DBHHT,"CA-AB, CA-BC",PINU.CON,Pinaceae,Pinus,contorta,bbranches2,3.3764,FALSE
DBHHT,"CA-AB, CA-BC",PINU.CON,Pinaceae,Pinus,contorta,bbranches3,-1.4395,FALSE
DBHHT,"CA-AB, CA-BC",PINU.CON,Pinaceae,Pinus,contorta,bfoliage1,0.0769,FALSE
